2019-04-02 13:32:09 status unpacked libaacs0:amd64 0.9.0-1
2019-04-02 13:32:09 install uuid-dev:amd64 <none> 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:09 status half-installed uuid-dev:amd64 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:11 status unpacked uuid-dev:amd64 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:12 status unpacked uuid-dev:amd64 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:12 install libsctp1:amd64 <none> 1.0.17+dfsg-2
2019-04-02 13:32:12 status half-installed libsctp1:amd64 1.0.17+dfsg-2
2019-04-02 13:32:13 status unpacked libsctp1:amd64 1.0.17+dfsg-2
2019-04-02 13:32:13 status unpacked libsctp1:amd64 1.0.17+dfsg-2
2019-04-02 13:32:13 install libsctp-dev:amd64 <none> 1.0.17+dfsg-2
2019-04-02 13:32:13 status half-installed libsctp-dev:amd64 1.0.17+dfsg-2
2019-04-02 13:32:14 status unpacked libsctp-dev:amd64 1.0.17+dfsg-2
2019-04-02 13:32:14 status unpacked libsctp-dev:amd64 1.0.17+dfsg-2
2019-04-02 13:32:15 install libapr1-dev:amd64 <none> 1.6.3-2
2019-04-02 13:32:15 status half-installed libapr1-dev:amd64 1.6.3-2
2019-04-02 13:32:18 status unpacked libapr1-dev:amd64 1.6.3-2
2019-04-02 13:32:18 status unpacked libapr1-dev:amd64 1.6.3-2
2019-04-02 13:32:18 install libldap2-dev:amd64 <none> 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:18 status half-installed libldap2-dev:amd64 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:19 status unpacked libldap2-dev:amd64 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:20 status unpacked libldap2-dev:amd64 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:20 install libexpat1-dev:amd64 <none> 2.2.5-3
2019-04-02 13:32:20 status half-installed libexpat1-dev:amd64 2.2.5-3
2019-04-02 13:32:21 status unpacked libexpat1-dev:amd64 2.2.5-3
2019-04-02 13:32:21 status unpacked libexpat1-dev:amd64 2.2.5-3
2019-04-02 13:32:22 install libaprutil1-dev:amd64 <none> 1.6.1-2
2019-04-02 13:32:22 status half-installed libaprutil1-dev:amd64 1.6.1-2
2019-04-02 13:32:24 status unpacked libaprutil1-dev:amd64 1.6.1-2
2019-04-02 13:32:24 status unpacked libaprutil1-dev:amd64 1.6.1-2
2019-04-02 13:32:25 install libva2:amd64 <none> 2.1.0-3
2019-04-02 13:32:25 status half-installed libva2:amd64 2.1.0-3
2019-04-02 13:32:25 status unpacked libva2:amd64 2.1.0-3
2019-04-02 13:32:25 status unpacked libva2:amd64 2.1.0-3
2019-04-02 13:32:26 install libva-drm2:amd64 <none> 2.1.0-3
2019-04-02 13:32:26 status half-installed libva-drm2:amd64 2.1.0-3
2019-04-02 13:32:27 status unpacked libva-drm2:amd64 2.1.0-3
2019-04-02 13:32:27 status unpacked libva-drm2:amd64 2.1.0-3
2019-04-02 13:32:28 install libva-x11-2:amd64 <none> 2.1.0-3
2019-04-02 13:32:28 status half-installed libva-x11-2:amd64 2.1.0-3
2019-04-02 13:32:28 status unpacked libva-x11-2:amd64 2.1.0-3
2019-04-02 13:32:28 status unpacked libva-x11-2:amd64 2.1.0-3
2019-04-02 13:32:29 install libvdpau1:amd64 <none> 1.1.1-3ubuntu1
2019-04-02 13:32:29 status half-installed libvdpau1:amd64 1.1.1-3ubuntu1
2019-04-02 13:32:29 status unpacked libvdpau1:amd64 1.1.1-3ubuntu1
2019-04-02 13:32:30 status unpacked libvdpau1:amd64 1.1.1-3ubuntu1
2019-04-02 13:32:30 install libavutil55:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:30 status half-installed libavutil55:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:31 status unpacked libavutil55:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:31 status unpacked libavutil55:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:32 install libcrystalhd3:amd64 <none> 1:0.0~git20110715.fdd2f19-12
2019-04-02 13:32:32 status half-installed libcrystalhd3:amd64 1:0.0~git20110715.fdd2f19-12
2019-04-02 13:32:33 status unpacked libcrystalhd3:amd64 1:0.0~git20110715.fdd2f19-12
2019-04-02 13:32:33 status unpacked libcrystalhd3:amd64 1:0.0~git20110715.fdd2f19-12
2019-04-02 13:32:33 install libgsm1:amd64 <none> 1.0.13-4build1
2019-04-02 13:32:33 status half-installed libgsm1:amd64 1.0.13-4build1
2019-04-02 13:32:34 status unpacked libgsm1:amd64 1.0.13-4build1
2019-04-02 13:32:34 status unpacked libgsm1:amd64 1.0.13-4build1
2019-04-02 13:32:34 install libshine3:amd64 <none> 3.1.1-1
2019-04-02 13:32:34 status half-installed libshine3:amd64 3.1.1-1
2019-04-02 13:32:35 status unpacked libshine3:amd64 3.1.1-1
2019-04-02 13:32:35 status unpacked libshine3:amd64 3.1.1-1
2019-04-02 13:32:36 install libsnappy1v5:amd64 <none> 1.1.7-1
2019-04-02 13:32:36 status half-installed libsnappy1v5:amd64 1.1.7-1
